level_0,index,team,code,name,surname,laps,time,grand_prix,date
10,,Alpine Renault,OCO,Esteban,Ocon,70,2:04:43.199,"
                        Hungary
                    ",01 Aug 2021
11,,Red Bull Racing Honda,VER,Max,Verstappen,1,0:03:27.071,"
                        Belgium
                    ",29 Aug 2021
12,,Red Bull Racing Honda,VER,Max,Verstappen,72,1:30:05.395,"
                        Netherlands
                    ",05 Sep 2021
13,,McLaren Mercedes,RIC,Daniel,Ricciardo,53,1:21:54.365,"
                        Italy
                    ",12 Sep 2021
14,,Mercedes,HAM,Lewis,Hamilton,53,1:30:41.001,"
                        Russia
                    ",26 Sep 2021
15,,Mercedes,BOT,Valtteri,Bottas,58,1:31:04.103,"
                        Turkey
                    ",10 Oct 2021
16,,Red Bull Racing Honda,VER,Max,Verstappen,56,1:34:36.552,"
                        United States 
                    ",24 Oct 2021
17,,Red Bull Racing Honda,VER,Max,Verstappen,71,1:38:39.086,"
                        Mexico
                    ",07 Nov 2021
18,,Mercedes,HAM,Lewis,Hamilton,71,1:32:22.851,"
                        Brazil
                    ",14 Nov 2021
19,,Mercedes,HAM,Lewis,Hamilton,57,1:24:28.471,"
                        Qatar
                    ",21 Nov 2021
20,,Mercedes,HAM,Lewis,Hamilton,50,2:06:15.118,"
                        Saudi Arabia
                    ",05 Dec 2021
21,,Red Bull Racing Honda,VER,Max,Verstappen,58,1:30:17.345,"
                        Abu Dhabi
                    ",12 Dec 2021
